ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
SZPQ4,6.64,-7.85,2.20,0.855,0.00%,0.744,2.62,-20.31,-3.17,-22.77,-22.77,-4.21%,-10.89%,2.97,-3.77%,-28.00%,-7.85,684467000.00,0.30,-11.71%
MEDI3,11.55,-7.52,1.89,0.374,0.00%,0.824,-10.02,-9.11,-3.31,-6.61,-6.61,-4.11%,-4.98%,0.79,-12.30%,-25.13%,-7.52,426164000.00,0.02,13.02%
LIGT3,4.00,-7.38,0.52,0.103,0.00%,0.063,-0.16,0.90,-0.10,6.55,4.35,11.52%,-1.40%,0.37,8.38%,-7.09%,-7.38,2847660000.00,4.14,2.30%
CVCB3,1.62,-7.3,1.46,0.554,0.00%,0.216,-3.82,6.24,-0.80,8.10,3.06,8.88%,-7.58%,0.91,4.97%,-20.02%,-7.3,582173000.00,1.24,22.30%
AALR3,7.90,-7.3,1.05,0.999,0.00%,0.457,-8.29,15.30,-1.24,22.51,9.52,6.53%,-12.88%,0.77,3.32%,-14.37%,-7.3,1147410000.00,0.64,6.00%
TCNO3,1.20,-6.81,-8.40,0.000,0.00%,0.034,-0.08,-2.87,-0.04,-15.11,-17.45,0.00%,0.00%,0.28,-1.59%,123.36%,-6.81,-946000.00,-35.76,-32.39%
KRSA3,8.20,-6.3,0.69,0.279,0.00%,0.134,1.73,2.23,-0.27,11.46,7.31,12.51%,-3.61%,1.39,6.93%,-10.98%,-6.3,917003000.00,3.06,8.81%
RPAD3,6.00,-6.28,0.50,0.000,0.00%,0.498,4.07,-187.07,4.30,-140.16,-140.16,0.00%,0.00%,26.15,-0.30%,-8.03%,-6.28,1008340000.00,0.00,0.00%
GFSA3,1.25,-6.01,0.07,0.162,0.00%,0.029,0.11,-0.59,1.26,-6.66,-6.98,-27.42%,-2.73%,1.66,-5.15%,-1.24%,-6.01,1949460000.00,0.89,16.40%
RPAD6,5.72,-5.98,0.48,0.000,0.00%,0.475,3.88,-178.34,4.10,-131.43,-131.43,0.00%,0.00%,26.15,-0.30%,-8.03%,-5.98,1008340000.00,0.00,0.00%
